Model,Accuracy,Precision,Recall,F1
Random Forest,0.9591474245115453,0.9601809954751132,0.9567177637511272,0.958446251129178
XGBoost,0.9640319715808171,0.9622302158273381,0.9648331830477908,0.9635299414678072
LightGBM,0.9658081705150977,0.9665461121157324,0.9639314697926059,0.9652370203160272
